Tahun,IPM,RLS,UHH,HLS,Pengeluaran,IPG,IDG,Miskin,TPT,PDRB
2022,84.31,10.94,75.00,16.76,16638.00,96.36,81.65,7.74,4.78,54656658.04
2021,84.00,10.92,74.92,16.74,16060.00,96.25,81.31,8.64,5.17,49397607.49
2020,83.84,10.91,74.81,16.73,15926.00,96.20,81.25,8.12,5.09,45833487.60
2019,83.85,10.67,74.77,16.72,16434.00,96.04,80.40,7.41,3.93,47468204.30
2018,83.42,10.66,74.69,16.71,15844.00,96.01,78.47,7.65,4.40,43779043.69
2017,82.85,10.65,74.63,16.48,15365.00,95.62,79.51,8.13,3.51,40047863.53
2016,82.15,10.64,74.60,16.08,14921.00,96.08,77.61,8.21,5.37,36932843.19
2015,81.20,10.30,74.57,15.77,14562.00,96.08,77.61,9.46,5.37,33826505.37
2014,80.70,10.28,74.47,15.64,14170.00,96.09,79.37,9.50,4.21,30912238.73
2013,80.26,10.03,74.47,15.52,14085.00,95.50,72.30,9.68,3.28,28295362.80
2012,80.10,10.03,74.46,15.48,13916.00,94.75,69.66,10.44,5.64,25732248.85
2011,80.04,10.03,74.44,15.45,13882.00,94.22,70.52,10.61,5.36,23764365.66
2010,79.69,9.79,74.43,15.42,13848.00,92.96,70.74,10.70,7.17,21481644.03