Provinsi;Jenis Kelamin;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
ACEH;Perempuan;72.16;71.94;71.91;71.85;71.67;71.55;71.52;71.49;71.34;71.3;71.22;71.16;71.09
SUMATERA UTARA;Perempuan;71.6;71.21;71.08;70.92;70.52;70.29;70.28;70.26;70.01;69.91;69.78;69.61;69.43
SUMATERA BARAT;Perempuan;71.89;71.57;71.45;71.29;70.93;70.7;70.65;70.64;70.31;70.2;69.99;69.78;69.58
RIAU;Perempuan;73.9;73.62;73.55;73.43;73.12;72.92;72.91;72.9;72.73;72.64;72.46;72.3;72.14
JAMBI;Perempuan;73.49;73.19;73.07;72.97;72.8;72.67;72.62;72.54;72.41;72.33;72.18;72.03;71.88
SUMATERA SELATAN;Perempuan;72.29;71.95;71.86;71.63;71.4;71.17;71.16;71.13;70.91;70.83;70.66;70.49;70.34
BENGKULU;Perempuan;71.68;71.4;71.27;71.13;70.76;70.51;70.49;70.48;70.35;70.32;70.16;69.98;69.81
LAMPUNG;Perempuan;72.97;72.69;72.61;72.48;72.14;71.91;71.9;71.88;71.64;71.53;71.31;71.1;70.9
KEP. BANGKA BELITUNG;Perempuan;72.97;72.7;72.59;72.46;72.11;71.89;71.88;71.85;71.69;71.61;71.45;71.3;71.14
KEP. RIAU;Perempuan;72.47;72.07;71.9;71.73;71.56;71.4;71.39;71.38;71.12;71.02;70.81;70.59;70.39
DKI JAKARTA;Perempuan;75.22;74.91;74.8;74.68;74.56;74.41;74.40;74.36;74.2;74.12;73.96;73.8;73.65
JAWA BARAT;Perempuan;75.48;75.19;75;74.81;74.62;74.42;74.39;74.36;74.18;74.05;73.79;73.53;73.27
JAWA TENGAH;Perempuan;76.53;76.42;76.3;76.16;76.1;76.02;75.99;75.95;75.87;75.28;75.1;74.92;74.75
DI YOGYAKARTA;Perempuan;76.93;76.89;76.83;76.76;76.65;76.57;76.54;76.53;76.36;76.32;76.24;76.14;76.06
JAWA TIMUR;Perempuan;73.71;73.35;73.27;73.15;72.87;72.7;72.68;72.67;72.44;72.33;72.13;72.01;71.89
BANTEN;Perempuan;72.36;71.99;71.93;71.81;71.62;71.47;71.44;71.41;71.11;71.02;70.84;70.66;70.48
BALI;Perempuan;74.53;74.17;74.03;73.89;73.57;73.35;73.32;73.31;73.15;73.07;72.91;72.76;72.59
NUSA TENGGARA BARAT;Perempuan;69.07;68.66;68.39;68.16;67.75;67.42;67.39;67.33;66.85;66.7;66.4;66.09;65.77
NUSA TENGGARA TIMUR;Perempuan;69.43;69.11;68.96;68.81;68.28;67.96;67.92;67.91;67.85;67.77;67.6;67.41;67.24
KALIMANTAN BARAT;Perempuan;73;72.74;72.67;72.55;72.16;71.9;71.89;71.87;71.75;71.66;71.47;71.28;71.07
KALIMANTAN TENGAH;Perempuan;72.02;71.72;71.66;71.6;71.55;71.5;71.49;71.48;71.34;71.23;71.16;71.06;70.98
KALIMANTAN SELATAN;Perempuan;71.13;70.79;70.62;70.45;70.19;69.95;69.84;69.78;69.45;69.33;69.09;68.86;68.63
KALIMANTAN TIMUR;Perempuan;76.52;76.51;76.21;76.13;75.87;75.61;75.59;75.58;75.56;75.46;75.27;75.05;74.84
KALIMANTAN UTARA;Perempuan;74.54;74.48;74.44;74.4;74.37;74.34;74.3;74.28;73.98;73.88;73.87;73.86;73.85
SULAWESI UTARA;Perempuan;74.04;73.72;73.67;73.55;73.23;73.01;72.99;72.98;72.92;72.85;72.7;72.55;72.39
SULAWESI TENGAH;Perempuan;70.95;70.85;70.72;70.26;69.75;69.29;69.28;69.26;69.18;69.02;68.7;68.39;68.07
SULAWESI SELATAN;Perempuan;72.96;72.65;72.56;72.42;72.1;71.86;71.84;71.8;71.59;71.5;71.31;71.12;70.94
SULAWESI TENGGARA;Perempuan;73.47;73.37;73.36;73.12;72.71;72.47;72.44;72.46;72.41;72.3;72.08;71.87;71.67
GORONTALO;Perempuan;70.53;70.21;70.09;69.94;69.53;69.2;69.16;69.14;69.03;68.94;68.77;68.59;68.41
SULAWESI BARAT;Perempuan;67.6;67.19;67.02;66.78;66.47;66.23;66.2;66.18;66;65.28;65;64.72;64.45
MALUKU;Perempuan;68.43;68.05;67.93;67.79;67.58;67.39;67.34;67.28;66.98;66.9;66.74;66.58;66.42
MALUKU UTARA;Perempuan;70.79;70.44;70.32;70.17;69.79;69.53;69.5;69.48;69.38;69.28;69.08;68.88;68.69
PAPUA BARAT;Perempuan;68.44;68.05;67.9;67.78;67.43;67.19;67.16;67.15;67.1;67.02;66.86;66.72;66.57
PAPUA;Perempuan;68.16;67.79;67.65;67.51;67.22;67;66.99;66.97;66.72;66.64;66.48;66.34;66.19
INDONESIA;Perempuan;73.83;73.55;73.46;73.33;73.19;73.06;72.8;72.78;72.59;72.41;72.22;72.02;71.83
ACEH;Laki-laki;68.26;68.07;68.04;67.98;67.73;67.62;67.61;67.59;67.44;67.4;67.32;67.25;67.17
SUMATERA UTARA;Laki-laki;67.66;67.35;67.22;67.07;66.73;66.49;66.48;66.41;66.16;66.06;65.93;65.76;65.59
SUMATERA BARAT;Laki-laki;67.99;67.7;67.59;67.42;67.16;66.94;66.9;66.75;66.41;66.31;66.11;65.9;65.7
RIAU;Laki-laki;70.03;69.82;69.75;69.62;69.32;69.12;69.1;69.05;68.88;68.79;68.61;68.43;68.26
JAMBI;Laki-laki;69.57;69.33;69.27;69.11;68.89;68.75;68.69;68.67;68.54;68.46;68.3;68.14;67.99
SUMATERA SELATAN;Laki-laki;68.38;68.11;68;67.78;67.52;67.29;67.28;67.25;67.03;66.95;66.78;66.62;66.45
BENGKULU;Laki-laki;67.74;67.54;67.47;67.28;66.89;66.64;66.62;66.6;66.47;66.43;66.26;66.08;65.92
LAMPUNG;Laki-laki;69.07;68.86;68.78;68.64;68.27;68.04;68.03;68;67.76;67.66;67.45;67.23;67.01
KEP. BANGKA BELITUNG;Laki-laki;69.06;68.86;68.77;68.63;68.32;68.08;68.05;68.01;67.85;67.77;67.6;67.42;67.25
KEP. RIAU;Laki-laki;68.58;68.24;68.08;67.92;67.76;67.6;67.59;67.54;67.28;67.18;66.98;66.76;66.54
DKI JAKARTA;Laki-laki;71.45;71.21;71.1;70.96;70.87;70.78;70.72;70.6;70.44;70.36;70.19;70.02;69.86
JAWA BARAT;Laki-laki;71.77;71.57;71.3;71.03;70.76;70.58;70.57;70.54;70.35;70.22;69.95;69.68;69.4
JAWA TENGAH;Laki-laki;72.71;72.61;72.51;72.33;72.28;72.16;72.1;72.05;71.97;71.37;71.18;70.99;70.8
DI YOGYAKARTA;Laki-laki;73.28;73.27;73.22;73.13;73.03;72.95;72.92;72.9;72.72;72.67;72.57;72.47;72.36
JAWA TIMUR;Laki-laki;69.81;69.51;69.42;69.3;68.99;68.82;68.8;68.79;68.56;68.45;68.25;68.13;68
BANTEN;Laki-laki;68.46;68.15;68.08;67.97;67.72;67.57;67.54;67.53;67.24;67.15;66.97;66.78;66.6
BALI;Laki-laki;70.69;70.39;70.28;70.11;69.8;69.58;69.55;69.49;69.33;69.24;69.06;68.89;68.73
NUSA TENGGARA BARAT;Laki-laki;65.14;64.81;64.63;64.32;63.88;63.57;63.55;63.52;63.04;62.88;62.56;62.27;61.95
NUSA TENGGARA TIMUR;Laki-laki;65.54;65.28;65.15;64.98;64.51;64.2;64.17;64.09;64.04;63.95;63.77;63.59;63.42
KALIMANTAN BARAT;Laki-laki;69.08;68.87;68.8;68.67;68.26;68;67.99;67.97;67.86;67.76;67.56;67.35;67.15
KALIMANTAN TENGAH;Laki-laki;68.08;67.89;67.84;67.79;67.74;67.69;67.68;67.67;67.52;67.41;67.35;67.25;67.16
KALIMANTAN SELATAN;Laki-laki;67.23;66.97;66.76;66.55;66.16;65.98;65.92;65.9;65.57;65.46;65.23;64.99;64.76
KALIMANTAN TIMUR;Laki-laki;72.8;72.79;72.54;72.41;72.13;71.87;71.85;71.82;71.79;71.68;71.46;71.25;71.03
KALIMANTAN UTARA;Laki-laki;70.7;70.69;70.63;70.57;70.52;70.5;70.49;70.47;70.17;70.06;70.05;70.04;70.03
SULAWESI UTARA;Laki-laki;70.16;69.89;69.82;69.71;69.33;69.11;69.09;69.08;69.03;68.95;68.8;68.65;68.51
SULAWESI TENGAH;Laki-laki;66.98;66.91;66.77;66.32;65.86;65.4;65.39;65.34;65.27;65.11;64.8;64.48;64.17
SULAWESI SELATAN;Laki-laki;69.03;68.77;68.68;68.54;68.2;67.96;67.94;67.89;67.69;67.59;67.4;67.2;67.01
SULAWESI TENGGARA;Laki-laki;69.44;69.35;69.31;69.2;68.83;68.57;68.54;68.5;68.45;68.35;68.14;67.93;67.72
GORONTALO;Laki-laki;66.56;66.27;66.14;66.01;65.51;65.22;65.21;65.2;65.08;65;64.84;64.68;64.51
SULAWESI BARAT;Laki-laki;63.74;63.39;63.2;62.96;62.76;62.52;62.49;62.36;62.18;61.46;61.18;60.92;60.64
MALUKU;Laki-laki;64.53;64.23;64.12;63.95;63.68;63.49;63.44;63.41;63.11;63.04;62.9;62.74;62.59
MALUKU UTARA;Laki-laki;66.84;66.55;66.43;66.25;65.82;65.56;65.53;65.5;65.41;65.31;65.12;64.97;64.8
PAPUA BARAT;Laki-laki;64.54;64.33;64.2;64.01;63.57;63.34;63.32;63.31;63.26;63.17;63;62.88;62.7
PAPUA;Laki-laki;64.34;64.15;64.02;63.87;63.67;63.45;63.44;63.3;63.05;62.97;62.81;62.66;62.51
INDONESIA;Laki-laki;69.93;69.67;69.59;69.44;69.3;69.16;69.09;68.93;68.87;68.49;68.29;68.09;67.89